area,teisu,number,name,age,carrer,affiliation,recommend,status,win_count
板橋区,5.0,10.0,宮瀬英治,40.0,（元）ベネッセ社員,民,由ネ,現,1.0
板橋区,5.0,10.0,熊木美奈子,55.0,金融機関契約社員,無, ,元,2.0
板橋区,5.0,10.0,安原宏史,27.0,幸福実現党役員,諸, ,新,0.0
板橋区,5.0,10.0,橘正剛,64.0,都議会党政調会長,公,都,現,3.0
板橋区,5.0,10.0,河野雄紀,47.0,都議会党副幹事長,自,日,現,1.0
板橋区,5.0,10.0,木下富美子,50.0,博報堂社員,都, ,新,0.0
板橋区,5.0,10.0,平慶翔,29.0,（元）衆院議員秘書,都, ,新,0.0
板橋区,5.0,10.0,松田康将,40.0,都会党政調副会長,自,日,現,1.0
板橋区,5.0,10.0,徳留道信,65.0,党都議団副幹事長,共, ,現,1.0
板橋区,5.0,10.0,佐上彰浩,46.0,無職,無, ,新,0.0
品川区,4.0,7.0,田中豪,54.0,（元）品川区議,自,日,現,3.0
品川区,4.0,7.0,白石民男,35.0,党都議団役員,共, ,現,1.0
品川区,4.0,7.0,森沢恭子,38.0,会社員,都, ,新,0.0
品川区,4.0,7.0,沢田洋和,36.0,（元）品川区議,自,日,新,0.0
品川区,4.0,7.0,伊藤興一,56.0,党都労働局長,公,都,現,3.0
品川区,4.0,7.0,阿部祐美子,52.0,（元）品川区議,民,由ネ,新,0.0
品川区,4.0,7.0,山内晃,48.0,（元）品川区議,都, ,現,1.0
島部,1.0,3.0,綾亨,64.0,党島しょ委責任者,共, ,新,0.0
島部,1.0,3.0,山下崇,44.0,（元）八丈町議,都,公,新,0.0
島部,1.0,3.0,三宅正彦,45.0,都会党幹事長代行,自,日,現,2.0
小金井市,1.0,5.0,漢人明子,57.0,（元）小金井市議,無, ,新,0.0
小金井市,1.0,5.0,朝倉法明,58.0,造園会社役員,無,共,新,0.0
小金井市,1.0,5.0,内古閑宏,53.0,ＩＴ会社社長,無, ,新,0.0
小金井市,1.0,5.0,広瀬真木,35.0,銀行員,自,日,新,0.0
小金井市,1.0,5.0,辻野栄作,48.0,クリニック院長,都,公,新,0.0
目黒区,3.0,5.0,斉藤泰宏,54.0,党都広報宣伝局長,公,都,現,2.0
目黒区,3.0,5.0,星見定子,59.0,（元）目黒区議,共, ,新,0.0
目黒区,3.0,5.0,鈴木隆道,66.0,（元）目黒区議長,自,日,現,3.0
目黒区,3.0,5.0,伊藤悠,40.0,（元）目黒区議,都,ネ,元,2.0
目黒区,3.0,5.0,栗山芳士,47.0,（元）目黒区議長,自,日,現,1.0
北多摩１,3.0,6.0,北久保真道,64.0,（元）東村山市議,自,日,現,1.0
北多摩１,3.0,6.0,谷村孝彦,54.0,都会党幹事長代行,公,都,現,4.0
北多摩１,3.0,6.0,尾崎あや子,58.0,党准都委員,共, ,現,1.0
北多摩１,3.0,6.0,関野杜成,43.0,（元）東大和市議,都, ,新,0.0
北多摩１,3.0,6.0,鈴木龍雄,48.0,会社役員,民,由,新,0.0
北多摩１,3.0,6.0,山内章明,64.0,（元）介護職員,無, ,新,0.0
西多摩,2.0,4.0,清水康子,50.0,税理士,都,公ネ,新,0.0
西多摩,2.0,4.0,西村雅人,50.0,行政書士,共, ,新,0.0
西多摩,2.0,4.0,田村利光,50.0,会社社長,自,日,新,0.0
西多摩,2.0,4.0,島田幸成,49.0,学校法人理事長,無,都ネ,現,2.0
南多摩,2.0,5.0,小礒明,65.0,桜美林大特任教授,自,日,現,5.0
南多摩,2.0,5.0,斎藤礼伊奈,38.0,ミュージシャン,都,公ネ,新,0.0
南多摩,2.0,5.0,石川良一,65.0,（元）稲城市長,無,都,現,1.0
南多摩,2.0,5.0,菅原重美,68.0,（元）多摩市議,共, ,新,0.0
南多摩,2.0,5.0,土居範洋,35.0,三菱重工社員,無, ,新,0.0
江戸川区,5.0,6.0,田之上郁子,47.0,コンサルタント,都, ,元,1.0
江戸川区,5.0,6.0,田島和明,66.0,（元）江戸川区議,自,日,現,6.0
